masked_fivegram,training_document_frequency,training_document_pct,countries_present
her business she is requesting,948,0.071999,29
lives in loc loc with,948,0.071999,15
on name would like to,948,0.071999,3
would like to thank the,948,0.071999,18
and other assorted items she,947,0.071923,3
is considered to be very,947,0.071923,4
is happily married and is,947,0.071923,4
married with two children in,947,0.071923,15
name become more independent because,947,0.071923,4
the income generated from his,947,0.071923,11
to pay tuition fees for,947,0.071923,15
with her husband and her,947,0.071923,31
woman in this photo is,947,0.071923,5
would like to see her,947,0.071923,23
and earns net income of,946,0.071847,3
earns additional income from selling,946,0.071847,9
has three children one of,946,0.071847,22
in her business and save,946,0.071847,12
kiva loan from its field,946,0.071847,3
she is in need of,946,0.071847,21
will help him pay for,946,0.071847,12
and with this loan she,945,0.071772,24
dairy cows in order to,945,0.071772,7
she lives in loc with,945,0.071772,20
this is name amt year,945,0.071772,17
which she plans to invest,945,0.071772,6
four years name has been,944,0.071696,16
is grateful to kiva lenders,944,0.071696,18
not have the opportunity to,944,0.071696,11
secure brighter future for her,944,0.071696,8
will use the profits of,944,0.071696,7
and she plans to take,943,0.07162,5
expand the size of her,943,0.07162,17
in the rural area of,943,0.07162,17
loc loc her husband is,943,0.07162,10
monthly income of amt she,943,0.07162,5
of amt org which she,943,0.07162,13
old man who lives with,943,0.07162,18
she intends to use to,943,0.07162,15
this is the first loan,943,0.07162,13
four children she has had,942,0.071544,9
her loan with the help,942,0.071544,4
increase her stock of merchandise,942,0.071544,11
for the last few years,941,0.071468,16
house with amt other family,941,0.071468,5
in her community she has,941,0.071468,24
the past four years she,941,0.071468,26
amt year old father of,940,0.071392,26
from kiva in the amount,940,0.071392,4
from the covid amt virus,940,0.071392,3
inputs such as fertilizers seeds,940,0.071392,4
to support her family her,940,0.071392,26
can earn enough money to,939,0.071316,9
from this season to buy,939,0.071316,4
is now requesting another loan,939,0.071316,23
is very thankful for the,939,0.071316,16
she is married woman she,939,0.071316,14
to manage her household expenses,939,0.071316,7
child name works hard to,938,0.07124,8
her family she wants to,938,0.07124,28
her hand raised in the,938,0.07124,9
wants to be able to,938,0.07124,29
would also like to buy,938,0.07124,22
you in advance for your,938,0.07124,11
and contributing to the local,937,0.071164,3
and that is why she,937,0.071164,20
her goal is to increase,937,0.071164,23
married with three children who,937,0.071164,26
mother of three children and,937,0.071164,30
save to take care of,937,0.071164,3
expand her business and repair,936,0.071088,5
father of two children he,936,0.071088,28
he hopes to use the,936,0.071088,15
purchase fruits and vegetables to,936,0.071088,9
and has two children with,935,0.071012,16
customer demand with the profits,935,0.071012,7
for amt org loan to,935,0.071012,20
her community to earn living,935,0.071012,10
living conditions and secure the,935,0.071012,3
other groceries she has been,935,0.071012,6
she needs this loan to,935,0.071012,20
also contribute to the local,934,0.070936,4
conditions and secure the future,934,0.070936,3
gains from this year harvest,934,0.070936,3
is married and one of,934,0.070936,5
is married woman with amt,934,0.070936,21
she started this business in,934,0.070936,22
sustenance for her family and,934,0.070936,3
and the help of her,933,0.07086,7
for amt years he is,933,0.07086,26
he is requesting loan from,933,0.07086,21
her family well being for,933,0.07086,6
improve their standards of living,933,0.07086,15
loc loc she is the,933,0.07086,9
to continue her children education,933,0.07086,8
enhance his family living standards,932,0.070784,5
family and pay school fees,932,0.070784,18
is now requesting kiva loan,932,0.070784,15
provide for her family basic,932,0.070784,19
she is able to meet,932,0.070784,21
children she lives in the,931,0.070708,24
hopes to expand the size,931,0.070708,4
is to grow his business,931,0.070708,17
like many other farmers in,931,0.070708,3
she requested loan in the,931,0.070708,11
spends total of amt org,931,0.070708,4
which will be used to,931,0.070708,29
children she sells groceries and,930,0.070632,8
in the market name has,930,0.070632,16
lives in the city of,930,0.070632,16
name hopes to expand the,930,0.070632,9
requesting this loan to purchase,930,0.070632,24
stock of groceries to sell,930,0.070632,9
the couple has amt children,930,0.070632,6
been in this line of,929,0.070556,22
every day of the week,929,0.070556,11
married and one of her,929,0.070556,3
to help improve her business,929,0.070556,9
trade from her mother she,929,0.070556,4
wants to build house and,929,0.070556,12
will be able to afford,929,0.070556,18
and she works hard to,928,0.07048,18
has been in this line,928,0.07048,22
name is hard working woman,928,0.07048,22
name plans to increase her,928,0.07048,21
other items to sell she,928,0.07048,11
years she is on her,928,0.07048,7
and other farm supplies to,927,0.070404,6
and other food items to,927,0.070404,14
hectares of land where she,927,0.070404,4
lenders for the support and,927,0.070404,8
paying back the loan successfully,927,0.070404,3
she has amt years of,927,0.070404,22
tuition fees for her children,927,0.070404,14
and has been able to,926,0.070329,26
children she has been in,926,0.070329,27
like canned goods noodles drinks,926,0.070329,3
old with four children she,926,0.070329,9
profits name will use the,926,0.070329,6
to have the support of,926,0.070329,17
to help her husband to,926,0.070329,30
to improve their standard of,926,0.070329,28
with her husband and four,926,0.070329,28
family needs this will be,925,0.070253,4
is seeking loan from kiva,925,0.070253,13
the future he will be,925,0.070253,15
access to electricity name works,924,0.070177,4
child she is single and,924,0.070177,4
plot of land where she,924,0.070177,16
she was able to increase,924,0.070177,23
children are only few but,923,0.070101,3
has knocked on the doors,923,0.070101,3
her loan her dream is,923,0.070101,7
it at higher price in,923,0.070101,4
she would like to acquire,923,0.070101,13
the goal of increasing her,923,0.070101,15
who works very hard she,923,0.070101,3
income from the loan in,922,0.070025,3
married with seven children name,922,0.070025,10
she is hopeful that with,922,0.070025,8
source of income to support,922,0.070025,19
the income generated by the,922,0.070025,10
business she applied for loan,921,0.069949,15
did not have the opportunity,921,0.069949,9
enhance his income he hopes,921,0.069949,3
her regular customers are her,921,0.069949,4
will use the profits to,921,0.069949,30
for several years now and,920,0.069873,12
meet the demand of her,920,0.069873,28
name is hopeful that kiva,920,0.069873,4
requesting loan to increase her,920,0.069873,21
she has no problem with,920,0.069873,5
able to give her children,919,0.069797,12
amt org per month she,919,0.069797,10
for kiva loan to buy,919,0.069797,18
is hard working entrepreneur who,919,0.069797,9
loan to buy sewing machine,919,0.069797,25
the profits from this loan,919,0.069797,20
born in amt and is,918,0.069721,7
business she is requesting loan,918,0.069721,26
her goal is to expand,918,0.069721,24
his loan will be used,918,0.069721,11
main source of income he,918,0.069721,19
plans to invest the proceeds,918,0.069721,4
that will boost his yield,918,0.069721,4
with the support of her,918,0.069721,21
with three children she sells,918,0.069721,16
and give her children good,917,0.069645,14
blessed with one child she,917,0.069645,9
children and lives in loc,917,0.069645,17
is grateful to the lenders,917,0.069645,12
loc she is divorced and,917,0.069645,8
loc with her previous kiva,917,0.069645,4
of loc she is blessed,917,0.069645,3
single with one child name,917,0.069645,5
the loan she wants to,917,0.069645,19
the near future name will,917,0.069645,4
further develop her business she,916,0.069569,14
her children as well as,916,0.069569,25
improve the living standards of,916,0.069569,18
loc he is applying for,916,0.069569,6
meet customer demand with the,916,0.069569,11
name has been working in,916,0.069569,22
support her family name has,916,0.069569,19
greater profits name will use,915,0.069493,3
her husband is responsible for,915,0.069493,5
life skills sessions for students,915,0.069493,5
loan so that he can,915,0.069493,30
old woman she lives in,915,0.069493,18
she lives in loc town,915,0.069493,7
the next five years she,915,0.069493,8
years name has applied for,915,0.069493,11
amt amt am to amt,914,0.069417,9
and then sells them out,914,0.069417,3
for his children to be,914,0.069417,12
has been working in agriculture,914,0.069417,19
loc she intends to use,914,0.069417,6
that will boost her business,914,0.069417,6
to buy seeds fertilizers and,914,0.069417,20
blessed with amt children who,913,0.069341,11
children aged amt to amt,913,0.069341,17
experience under her belt she,913,0.069341,4
farming she will be able,913,0.069341,4
her goal is to improve,913,0.069341,16
loan will help her buy,913,0.069341,25
loc she has one child,913,0.069341,13
name requested loan in the,913,0.069341,8
the loan that she is,913,0.069341,14
two school going children she,913,0.069341,14
will help her to support,913,0.069341,20
and its partners for supporting,912,0.069265,5
he is happily married to,912,0.069265,4
her husband and four children,912,0.069265,29
hopes that kiva lenders will,912,0.069265,15
lenders for this financial assistance,912,0.069265,3
living conditions for her children,912,0.069265,19
loan facility to buy more,912,0.069265,4
near future name will be,912,0.069265,3
she faces is the lack,912,0.069265,10
the challenge of her business,912,0.069265,4
to meet her customers needs,912,0.069265,27
and dreams are to have,911,0.069189,7
expenses and improve her business,910,0.069113,7
so that she can generate,910,0.069113,20
to electricity name works as,910,0.069113,4
will be able to to,910,0.069113,7
years she and her husband,910,0.069113,14
in loc with her husband,909,0.069037,21
is very common activity in,909,0.069037,3
maize flour and wheat flour,909,0.069037,3
of the group in this,909,0.069037,5
provide basic needs for the,909,0.069037,6
received her dream is to,909,0.069037,4
that she can expand her,909,0.069037,32
to her customers name has,909,0.069037,14
as the result of the,908,0.068961,3
business to provide for her,908,0.068961,21
investment and wants to thank,908,0.068961,3
name is young amt year,908,0.068961,18
of customers she would like,908,0.068961,8
will not only increase his,908,0.068961,7
his dream is to grow,907,0.068885,10
in her business in the,907,0.068885,15
is an amt year old,907,0.068885,27
is turning to you for,907,0.068885,3
proceeds will be used to,907,0.068885,13
the result of the investment,907,0.068885,4
this loan to buy assorted,907,0.068885,4
two children living in loc,907,0.068885,10
amt years she will be,906,0.06881,7
and amt years old three,906,0.06881,10
business because she wants to,906,0.06881,11
business for seven years now,906,0.06881,15
loan for the third time,906,0.06881,4
rice to sell in the,906,0.06881,7
be able to take care,905,0.068734,28
been member of org for,905,0.068734,4
by facing life challenges he,905,0.068734,3
grateful to org and kiva,905,0.068734,8
in the further development of,905,0.068734,3
now he does not have,905,0.068734,6
old mother living in loc,905,0.068734,4
she seeks loan to invest,905,0.068734,6
to generate more income to,905,0.068734,19
to use her share of,905,0.068734,5
woman who is married and,905,0.068734,29
amt year old lady living,904,0.068658,8
and that of her entire,904,0.068658,3
farmers in the loc district,904,0.068658,3
has operated this business for,904,0.068658,17
help her to support her,904,0.068658,24
inputs such as fertilizers to,904,0.068658,4
loc district of loc she,904,0.068658,12
to sell in the market,904,0.068658,22
amt years old and both,903,0.068582,10
as main source of income,903,0.068582,8
children to school name will,903,0.068582,6
guide supporting other young women,903,0.068582,5
he wants to increase his,903,0.068582,26
her loan by volunteering three,903,0.068582,4
name has been running this,903,0.068582,16
and become successful in the,902,0.068506,6
and the father of two,902,0.068506,30
and the mother of seven,902,0.068506,25
four children who are still,902,0.068506,17
has made name independent and,902,0.068506,3
additional items to sell in,901,0.06843,4
amt year old woman residing,901,0.06843,11
increase her income she is,901,0.06843,22
living with her spouse and,901,0.06843,6
all her children to school,900,0.068354,12
amt am to amt amt,900,0.068354,9
customers are her neighbors and,900,0.068354,8
from amt amt am to,900,0.068354,9
from the expanded business to,900,0.068354,3
is married businesswoman with two,900,0.068354,3
married with two children he,900,0.068354,26
name is married and blessed,900,0.068354,11
the use of electricity and,900,0.068354,3
will enable her to grow,900,0.068354,20
with five children two of,900,0.068354,16
amt years she successfully repaid,899,0.068278,3
her business to increase her,899,0.068278,27
how to sell by herself,899,0.068278,3
she is hoping for your,899,0.068278,5
amt it is made up,898,0.068202,4
family he would like loan,898,0.068202,3
increase her profits this will,898,0.068202,9
is able to ensure that,898,0.068202,4
person he is amt years,898,0.068202,8
quality of life she also,898,0.068202,7
with five children three of,898,0.068202,18
build children self esteem and,897,0.068126,5
help her to buy more,897,0.068126,23
in order to improve the,897,0.068126,28
married businesswoman with two children,897,0.068126,3
married woman residing in the,897,0.068126,8
name is humbly seeking loan,897,0.068126,3
name lives with her husband,897,0.068126,25
she is mother of four,897,0.068126,29
very thankful in advance for,897,0.068126,3
year old woman residing in,897,0.068126,10
fertilizer your loan will enable,896,0.06805,3
for the needs of her,896,0.06805,25
her profits she has managed,896,0.06805,3
loc he will use this,896,0.06805,4
name is the father of,896,0.06805,17
org to pay for his,896,0.06805,10
the age of amt she,896,0.06805,26
vegetables to sell name has,896,0.06805,4
will help improve her family,896,0.06805,15
year old name is married,896,0.06805,24
blessed with four children who,895,0.067974,8
business in the future as,895,0.067974,9
demand with the profits from,895,0.067974,5
income to provide food for,895,0.067974,3
married with eight children she,895,0.067974,14
neighbors and the local community,895,0.067974,5
regular customers are her neighbors,895,0.067974,4
so that they can have,895,0.067974,24
the future he hopes to,895,0.067974,20
district in loc with her,894,0.067898,7
is in school name is,894,0.067898,13
am to amt amt pm,893,0.067822,9
but struggles with charcoal and,893,0.067822,3
old and married she runs,893,0.067822,5
sell in the future at,893,0.067822,3
sending his children to school,893,0.067822,12
she can earn enough money,893,0.067822,7
this will be name first,893,0.067822,10
with her own savings and,893,0.067822,3
able to feed his family,892,0.067746,16
in multi bedroom house without,892,0.067746,4
name generate greater profits and,892,0.067746,4
pay tuition fees for her,892,0.067746,14
proceeds from the loan will,892,0.067746,7
support her family in the,892,0.067746,18
to build children self esteem,892,0.067746,5
which will translate into more,892,0.067746,3
amt org to pay for,891,0.06767,15
feed his family he needs,891,0.06767,6
in loc with her family,891,0.06767,20
woman with three children all,891,0.06767,10
years old and married mother,891,0.06767,24
earn more income to support,890,0.067594,12
name is very hard working,890,0.067594,24
such as rice sugar soap,890,0.067594,5
field partner org loc she,889,0.067518,8
in loc with her previous,889,0.067518,6
income name is member of,889,0.067518,3
is requesting loan to order,889,0.067518,3
money with the profits from,889,0.067518,4
name needs this loan to,889,0.067518,15
now name seeks loan to,889,0.067518,4
old lady living with her,889,0.067518,6
org loc to buy more,889,0.067518,8
will open new markets for,889,0.067518,3
amt years she wants to,888,0.067442,22
back the loan in full,888,0.067442,6
been involved in animal husbandry,888,0.067442,5
children her husband is farmer,888,0.067442,21
demands of her customers she,888,0.067442,26
happily married and is blessed,888,0.067442,3
her dream which is to,888,0.067442,9
hope and dream is to,888,0.067442,6
she is going to purchase,888,0.067442,18
this loan to buy seeds,888,0.067442,16
business and be able to,887,0.067367,27
general store in the future,887,0.067367,10
her biggest dream is to,887,0.067367,18
her quality of life and,887,0.067367,16
his farming business name is,887,0.067367,8
loc for the past year,887,0.067367,8
multi bedroom house without access,887,0.067367,4
name is very hardworking and,887,0.067367,18
per month she has applied,887,0.067367,3
she lives together with her,887,0.067367,16
to reduce the use of,887,0.067367,4
woman she lives in the,887,0.067367,16
amt year old lady who,886,0.067291,22
and is married with four,886,0.067291,33
been working in animal husbandry,886,0.067291,5
family name is grateful to,886,0.067291,12
her business and dreams of,886,0.067291,11
new loan to increase her,886,0.067291,13
woman she has two children,886,0.067291,17
field partner of kiva name,885,0.067215,3
for amt years name will,885,0.067215,11
has amt children and lives,885,0.067215,13
her husband in the loc,885,0.067215,11
name is able to ensure,885,0.067215,4
to improve her business she,885,0.067215,28
to provide for the needs,885,0.067215,23
using this loan she will,885,0.067215,7
will be name first loan,885,0.067215,10
amt org to purchase another,884,0.067139,5
amt years now name has,884,0.067139,16
and would like to save,884,0.067139,5
financial help from her husband,884,0.067139,6
for amt years name is,884,0.067139,23
for the well being of,884,0.067139,25
kind and responsible woman she,884,0.067139,5
loan in full at maturity,884,0.067139,5
married woman who lives with,884,0.067139,18
of her children is currently,884,0.067139,9
she hopes to improve her,884,0.067139,27
the sole provider for the,884,0.067139,10
to amt org per month,884,0.067139,11
child who is still in,883,0.067063,16
is single woman with two,883,0.067063,13
kiva lending partner to purchase,883,0.067063,3
life she also hopes to,883,0.067063,5
loan proceeds will be used,883,0.067063,7
loan to purchase more stock,883,0.067063,19
of amt org for her,883,0.067063,8
six children two of whom,883,0.067063,18
that the loan will help,883,0.067063,23
to work hard so that,883,0.067063,12
wood and energy expenses she,883,0.067063,3
amt children and lives in,882,0.066987,20
in order to improve his,882,0.066987,26
is located in busy area,882,0.066987,12
married and mother of four,882,0.066987,27
seeds and fertilizer to improve,882,0.066987,11
sole provider for the family,882,0.066987,9
also to help them access,881,0.066911,4
and she is married with,881,0.066911,26
business is located in busy,881,0.066911,12
living in loc loc he,881,0.066911,10
one child name works hard,881,0.066911,5
past few years she has,881,0.066911,13
amt years old lives in,880,0.066835,21
business in the future he,880,0.066835,22
children are presently in school,880,0.066835,3
mother of two school going,880,0.066835,15
for this reason he is,879,0.066759,23
from loc she lives with,879,0.066759,9
her dream is to own,879,0.066759,15
living standards she hopes that,879,0.066759,6
name is married she is,879,0.066759,16
of life she also hopes,879,0.066759,3
area of loc she has,878,0.066683,13
because he has been able,878,0.066683,7
has asked for loan from,878,0.066683,14
to meet his family needs,878,0.066683,26
with several years of experience,878,0.066683,8
amt year old mother she,877,0.066607,14
and support her family name,877,0.066607,20
been able to provide for,877,0.066607,22
fish to sell in the,877,0.066607,6
hopeful that kiva lenders will,877,0.066607,6
inputs such as fertilizer to,877,0.066607,4
school for the past two,877,0.066607,13
such as biscuits noodles sugar,877,0.066607,3
was born in amt is,877,0.066607,5
who has been blessed with,877,0.066607,9
will be able to pull,877,0.066607,3
become more independent because she,876,0.066531,4
kiva community for their financial,876,0.066531,5
lending partner to purchase more,876,0.066531,3
loc with the help of,876,0.066531,10
would like to save up,876,0.066531,10
year old businesswoman from loc,876,0.066531,6
for kiva loan from its,875,0.066455,3
has proven track record of,875,0.066455,3
he is grateful for the,875,0.066455,19
she is applying for her,875,0.066455,11
the org amt pandemic has,875,0.066455,8
to succeed in life and,875,0.066455,8
will use to buy farm,875,0.066455,5
woman who lives in separated,875,0.066455,4
woman who lives in the,875,0.066455,22
year old lady living with,875,0.066455,5
and she plans to use,874,0.066379,22
applied for loan from kiva,874,0.066379,13
farmer from the rural area,874,0.066379,7
help of this loan she,874,0.066379,21
in her business she has,874,0.066379,28
name has successfully repaid her,874,0.066379,9
of the loan to purchase,874,0.066379,18
has not been able to,873,0.066303,29
loan in order to increase,873,0.066303,25
single and has two children,873,0.066303,20
and encouraging them to save,872,0.066227,4
barely enough for the basic,872,0.066227,3
from amt in the morning,872,0.066227,5
has great desire to succeed,872,0.066227,3
has strong base of loyal,872,0.066227,3
his children to be able,872,0.066227,8
rice maize flour and wheat,872,0.066227,3
to generate more income name,872,0.066227,12
to manage her retail business,872,0.066227,3
years she has been managing,872,0.066227,10
amt years name will use,871,0.066151,12
is hopeful that with increased,871,0.066151,3
kiva lending partner to buy,871,0.066151,6
name lives in the province,871,0.066151,3
other food items to sell,871,0.066151,7
requesting kiva loan to start,871,0.066151,6
with four children with three,871,0.066151,5
woman she has three children,871,0.066151,22
for his family he would,870,0.066075,16
future she wants to continue,870,0.066075,6
man who lives in amt,870,0.066075,4
and earns monthly income of,869,0.065999,4
and fertilizer to improve her,869,0.065999,10
business for amt years earning,869,0.065999,4
has been able to support,869,0.065999,22
her business name has applied,869,0.065999,15
her supplies at the market,869,0.065999,7
pay back the loan successfully,869,0.065999,4
to use his profits to,869,0.065999,21
and amt years old all,868,0.065923,18
and has two children one,868,0.065923,24
is applying for loan of,868,0.065923,15
loc he used his previous,868,0.065923,3
name is married with four,868,0.065923,21
of the loan to buy,868,0.065923,23
wants to increase her income,868,0.065923,21
year old mother of five,868,0.065923,27
family in village near loc,867,0.065848,5
for one year name has,867,0.065848,10
managed to give her family,867,0.065848,3
name dreams of improving her,867,0.065848,6
name runs food vending business,867,0.065848,3
seeking the loan to buy,867,0.065848,5
she has decided to request,867,0.065848,12
to purchase additional farmland for,867,0.065848,3
and to everyone who helped,866,0.065772,3
children living in loc loc,866,0.065772,6
expand her business and improve,866,0.065772,28
this is her fifth loan,866,0.065772,18
woman and mother of amt,866,0.065772,28
and other groceries to sell,865,0.065696,12
everyone who helped her with,865,0.065696,4
farming inputs such as fertilizer,865,0.065696,7
grateful for the support she,865,0.065696,9
lack of funds she is,865,0.065696,10
other farm supplies to maintain,865,0.065696,3
production hence increasing his income,865,0.065696,4
to use the increased income,865,0.065696,5
two of whom attend school,865,0.065696,21
will improve his work and,865,0.065696,3
community for their financial support,864,0.06562,5
for her children education and,864,0.06562,30
help and fund his loan,864,0.06562,4
in her community her husband,864,0.06562,9
is amt year old from,864,0.06562,17
married and the couple have,864,0.06562,3
of her children attend school,864,0.06562,21
of them are in school,864,0.06562,24
sells them in the market,864,0.06562,19
single mother of amt children,864,0.06562,26
will help and fund his,864,0.06562,4
and lives in the loc,863,0.065544,15
community to earn living she,863,0.065544,9
her store in the future,863,0.065544,15
income so that she can,863,0.065544,26
is married mother of two,863,0.065544,22
loc she has requested loan,863,0.065544,8
not only increase his income,863,0.065544,4
support from kiva in the,863,0.065544,3
use to buy farm inputs,863,0.065544,4
challenge of her business is,862,0.065468,6
has done for amt years,862,0.065468,16
living like any loving parent,862,0.065468,3
loc which is in the,862,0.065468,11
name is seeking loan from,862,0.065468,16
of living like any loving,862,0.065468,3
the amt year old name,862,0.065468,9
to expand her business so,862,0.065468,31
to school name will use,862,0.065468,4
and four of her children,861,0.065392,9
at the market and is,861,0.065392,8
business to be able to,861,0.065392,27
drinks to help expand her,861,0.065392,3
farming to take care of,861,0.065392,4
father of three children he,861,0.065392,28
he works in the public,861,0.065392,5
maintain her business name has,861,0.065392,4
married mother of amt children,861,0.065392,30
the past amt years her,861,0.065392,21
and has been in the,860,0.065316,24
and sells them in the,860,0.065316,25
from kiva partner org loc,860,0.065316,3
her family name is grateful,860,0.065316,13
his business in order to,860,0.065316,29
loan to purchase high quality,860,0.065316,10
that kiva lenders will respond,860,0.065316,3
to buy more ingredients that,860,0.065316,3
to continue growing her business,860,0.065316,21
and the other members of,859,0.06524,16
children she and her family,859,0.06524,18
days week and amt hours,859,0.06524,7
food and clothing for his,859,0.06524,3
harvest as good last year,859,0.06524,3
has the ambition to expand,859,0.06524,4
is from the loc area,859,0.06524,3
is the mother of one,859,0.06524,26
married woman living with her,859,0.06524,17
she would like to continue,859,0.06524,20
to graduate and find good,859,0.06524,3
use the profits of the,859,0.06524,4
wants to satisfy her customers,859,0.06524,9
her business amt years ago,858,0.065164,22
lives in rural village with,858,0.065164,5
name is hardworking business woman,858,0.065164,6
name runs retail business selling,858,0.065164,5
she deals in business selling,858,0.065164,4
skills sessions for students in,858,0.065164,5
that she intends to use,858,0.065164,10
therefore she has asked for,858,0.065164,6
family standard of living like,857,0.065088,3
for eight years now and,857,0.065088,10
her standard of living in,857,0.065088,11
is amt and the youngest,857,0.065088,13
is married woman who has,857,0.065088,23
married and mother of two,857,0.065088,31
standard of living like any,857,0.065088,3
the loan to buy farm,857,0.065088,9
the past six years she,857,0.065088,25
to support her business and,857,0.065088,23
be able to boost her,856,0.065012,16
for five years name has,856,0.065012,21
for many years and has,856,0.065012,18
located in busy area and,856,0.065012,8
made up of amt women,856,0.065012,4
married she is in the,856,0.065012,7
of amt org from kiva,856,0.065012,11
time her dream is to,856,0.065012,8
and has three children with,855,0.064936,15
as good last year but,855,0.064936,3
make her business more profitable,855,0.064936,12
partner org loc with the,855,0.064936,3
with her family she has,855,0.064936,26
family name is seeking loan,854,0.06486,13
for her business to grow,854,0.06486,19
home to her neighbors and,854,0.06486,4
leading life skills sessions for,854,0.06486,4
org to purchase sacks of,854,0.06486,4
she hopes that you will,854,0.06486,11
the father of four children,854,0.06486,26
using the loan to buy,854,0.06486,15
for the support that will,853,0.064784,6
from camfed my better world,853,0.064784,5
her business name is very,853,0.064784,16
loan his dream is to,853,0.064784,9
loan to buy amt bags,853,0.064784,15
size of her business in,853,0.064784,6
to pay her educational fees,853,0.064784,4
and clothing for his family,852,0.064708,4
and enable her to pay,852,0.064708,6
be inspired to support her,852,0.064708,3
desire to get ahead is,852,0.064708,3
dreams of improving her business,852,0.064708,8
has paid off her loan,852,0.064708,5
his dream is to expand,852,0.064708,17
lives with her mother in,852,0.064708,18
now she is asking for,852,0.064708,20
products to sell she has,852,0.064708,10
raising pigs for three years,852,0.064708,6
selling for the past amt,852,0.064708,5
she is now seeking loan,852,0.064708,16
to improve her living standards,852,0.064708,20
wants to build her house,852,0.064708,6
farmers in her village she,851,0.064632,3
grateful for the support received,851,0.064632,7
in school she has been,851,0.064632,23
loc district in loc with,851,0.064632,9
mother of four children living,851,0.064632,11
of land in the future,851,0.064632,17
sell at her store she,851,0.064632,14
the profits to reinvest in,851,0.064632,12
any loving parent her dream,850,0.064556,3
has been involved in animal,850,0.064556,6
her hard work and perseverance,850,0.064556,7
income generated by the loan,850,0.064556,5
is very thankful for your,850,0.064556,11
lives with her children in,850,0.064556,27
maize flour and sugar she,850,0.064556,3
of further developing her business,850,0.064556,7
school name will use the,850,0.064556,5
use the profits to reinvest,850,0.064556,11
very common activity in the,850,0.064556,3
and her mother taught her,849,0.06448,4
and improve his family living,849,0.06448,24
and learned the trade from,849,0.06448,5
children she lives in rural,849,0.06448,13
goal is to build house,849,0.06448,12
in the fight against poverty,849,0.06448,3
lives in the village of,849,0.06448,14
she is requesting the loan,849,0.06448,24
she wants to buy more,849,0.06448,28
so that she can meet,849,0.06448,31
that he started in amt,849,0.06448,4
to become independent and to,849,0.06448,7
with the loan amount she,849,0.06448,8
been doing this for amt,848,0.064405,24
generate more income name is,848,0.064405,9
income to support her children,848,0.064405,19
is very responsible with his,848,0.064405,5
lending partner to buy more,848,0.064405,3
loan from org for the,848,0.064405,11
married with four children three,848,0.064405,18
woman from the loc district,848,0.064405,4
her family out of poverty,847,0.064329,14
single woman with one child,847,0.064329,11
the woman in the photo,847,0.064329,14
children for the past amt,846,0.064253,22
for the first time through,846,0.064253,4
has had farming business for,846,0.064253,4
her goal is to grow,846,0.064253,23
making her dreams come true,846,0.064253,9
married and lives in loc,846,0.064253,19
will be grateful for your,846,0.064253,7
as his main source of,845,0.064177,15
for loan for the third,845,0.064177,4
lives with her family and,845,0.064177,22
of three children who are,845,0.064177,28
with this investment she will,845,0.064177,11
woman she is the mother,845,0.064177,23
amt org loan to purchase,844,0.064101,12
and has great experience in,844,0.064101,7
children to earn an income,844,0.064101,6
is her fourth loan with,844,0.064101,15
living conditions in the future,844,0.064101,17
requesting loan of amt from,844,0.064101,11
with her husband she is,844,0.064101,30
amt year old lady married,843,0.064025,10
as rice sugar soap and,843,0.064025,4
field partner to purchase more,843,0.064025,6
for several years with this,843,0.064025,5
in small village of loc,843,0.064025,3
lives with her parents she,843,0.064025,18
of loc he is married,843,0.064025,16
three children she is single,843,0.064025,5
to buy farming inputs to,843,0.064025,5
to provide for their family,843,0.064025,21
an income she and her,842,0.063949,3
children ages amt amt and,842,0.063949,19
client of the microfinance institution,842,0.063949,4
income she and her husband,842,0.063949,13
money to invest in her,842,0.063949,15
she is thankful to all,842,0.063949,13
to improve her family standard,842,0.063949,30
way she will be able,842,0.063949,24
with her first kiva loan,842,0.063949,12
amt year old single mom,841,0.063873,7
buy feed and vitamins to,841,0.063873,4
earn an income she and,841,0.063873,3
fertilizers to improve her crop,841,0.063873,3
for her family she hopes,841,0.063873,21
of providing for her family,841,0.063873,12
seven children name works hard,841,0.063873,3
the next amt years she,841,0.063873,9
children she has had retail,840,0.063797,5
four children her husband is,840,0.063797,19
meet the needs of his,840,0.063797,25
that you will support her,840,0.063797,5
are her neighbors and the,839,0.063721,3
get higher education in the,839,0.063721,5
has seven children she is,839,0.063721,14
income is not enough to,839,0.063721,20
is applying for her first,839,0.063721,8
loan in short period of,839,0.063721,5
name is happily married woman,839,0.063721,7
source of sustenance for her,839,0.063721,3
the basic needs of his,839,0.063721,18
this way she will be,839,0.063721,21
to increase her working capital,839,0.063721,24
two bedroom house with access,839,0.063721,3
up to amt org per,839,0.063721,5
charcoal to sell she has,838,0.063645,3
for many years now she,838,0.063645,13
grateful to org loc and,838,0.063645,4
her business she hopes to,838,0.063645,26
his business goal is to,838,0.063645,7
many more great memories and,838,0.063645,4
she is sure that she,838,0.063645,9
will boost her income and,838,0.063645,9
is very hard working and,837,0.063569,19
shop business for the past,837,0.063569,4
that he will be able,837,0.063569,29
three school going children she,837,0.063569,14
to get higher education in,837,0.063569,5
to support her family the,837,0.063569,19
village on the outskirts of,837,0.063569,6
able to repay her loan,836,0.063493,18
basic needs of her household,836,0.063493,10
he will have many more,836,0.063493,4
is going to stock up,836,0.063493,8
living standards and pay for,836,0.063493,5
now requesting another loan to,836,0.063493,16
so that she can provide,836,0.063493,32
